permissions	size	month	day	year	filename
-rw-r--r--		296	Jan	21	2020	./nj_bills.iml
-rw-rw----		39039	Feb		3	2020	./scrape/s3/tmp/billPageLister-211.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-704.html
-rw-rw----		38800	Feb		3	2020	./scrape/s3/tmp/billPageLister-354.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-587.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-991.html
-rw-rw----		38930	Feb		3	2020	./scrape/s3/tmp/billPageLister-138.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-568.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-909.html
-rw-rw----		39047	Feb		3	2020	./scrape/s3/tmp/billPageLister-75.html
-rw-rw----		39199	Feb		3	2020	./scrape/s3/tmp/billPageLister-323.html
-rw-rw----		39267	Feb		3	2020	./scrape/s3/tmp/billPageLister-289.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1087.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-773.html
-rw-rw----		38847	Feb		3	2020	./scrape/s3/tmp/billPageLister-266.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1068.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-636.html
-rw-rw----		39611	Feb		3	2020	./scrape/s3/tmp/billPageLister-118.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-548.html
-rw-rw----		38757	Feb		3	2020	./scrape/s3/tmp/billPageLister-22.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-724.html
-rw-rw----		39767	Feb		3	2020	./scrape/s3/tmp/billPageLister-374.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-661.html
-rw-rw----		39165	Feb		3	2020	./scrape/s3/tmp/billPageLister-3.html
-rw-rw----		39067	Feb		3	2020	./scrape/s3/tmp/billPageLister-231.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-948.html
-rw-rw----		39067	Feb		3	2020	./scrape/s3/tmp/billPageLister-34.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-698.html
-rw-rw----		39582	Feb		3	2020	./scrape/s3/tmp/billPageLister-362.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-732.html
-rw-rw----		38839	Feb		3	2020	./scrape/s3/tmp/billPageLister-227.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1029.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-677.html
-rw-rw----		39029	Feb		3	2020	./scrape/s3/tmp/billPageLister-159.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-509.html
-rw-rw----		38843	Feb		3	2020	./scrape/s3/tmp/billPageLister-63.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-765.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1091.html
-rw-rw----		38922	Feb		3	2020	./scrape/s3/tmp/billPageLister-335.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-620.html
-rw-rw----		39586	Feb		3	2020	./scrape/s3/tmp/billPageLister-270.html
-rw-rw----		39659	Feb		3	2020	./scrape/s3/tmp/billPageLister-18.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-437.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-964.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-821.html
-rw-rw----		39046	Feb		3	2020	./scrape/s3/tmp/billPageLister-122.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-572.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1005.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1140.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-899.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-933.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-460.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-525.html
-rw-rw----		39458	Feb		3	2020	./scrape/s3/tmp/billPageLister-175.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-876.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1052.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1117.html
-rw-rw----		39187	Feb		3	2020	./scrape/s3/tmp/billPageLister-319.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-749.html
-rw-rw----		40087	Feb		3	2020	./scrape/s3/tmp/billPageLister-59.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-476.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-925.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-860.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-499.html
-rw-rw----		39644	Feb		3	2020	./scrape/s3/tmp/billPageLister-163.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-533.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1044.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1101.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-972.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-421.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-564.html
-rw-rw----		38817	Feb		3	2020	./scrape/s3/tmp/billPageLister-134.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-837.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1013.html
-rw-rw----		38323	Feb		3	2020	./scrape/s3/tmp/billPageLister-358.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-708.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-979.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-580.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-996.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-646.html
-rw-rw----		40835	Feb		3	2020	./scrape/s3/tmp/billPageLister-216.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1018.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-703.html
-rw-rw----		38405	Feb		3	2020	./scrape/s3/tmp/billPageLister-353.html
-rw-rw----		38539	Feb		3	2020	./scrape/s3/tmp/billPageLister-187.html
-rw-rw----		39357	Feb		3	2020	./scrape/s3/tmp/billPageLister-52.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-884.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-538.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-492.html
-rw-rw----		38364	Feb		3	2020	./scrape/s3/tmp/billPageLister-168.html
-rw-rw----		38966	Feb		3	2020	./scrape/s3/tmp/billPageLister-241.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-611.html
-rw-rw----		39639	Feb		3	2020	./scrape/s3/tmp/billPageLister-304.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-754.html
